search_key,matched_name,Main Story (h),Main + Sides (h),Completionist (h),All Styles (h),Co-Op (h),Vs (h)
palworld,Palworld,39.83,74.06,89.24,70.21,100.7,0.0
pubg battlegrounds,PUBG: Battlegrounds,100.43,276.66,522.79,231.0,249.13,174.69
apex legends,Apex Legends,33.3,85.11,145.86,105.42,436.95,186.41
black myth wukong,Black Myth: Wukong,38.03,47.98,67.3,50.28,0.0,0.0
team fortress,Team Fortress 2,293.02,587.12,2616.46,591.61,199.31,560.64
new world aeternum,New World: Aeternum,28.67,106.5,0.0,46.6,0.0,0.0
left dead,Left 4 Dead 2,10.23,27.1,60.44,18.03,50.15,149.26
counterstrike global offensive,Counter-Strike 2,121.25,365.22,770.33,414.3,305.67,723.15
lost ark,Lost Ark,48.21,202.82,706.21,137.85,382.9,5.0
unturned,Unturned,20.91,62.62,135.7,59.28,70.26,131.7
war thunder,War Thunder,474.83,1630.35,4627.7,1234.51,321.49,237.16
grand theft auto legacy,Grand Theft Auto,13.78,14.0,16.27,14.42,0.0,0.0
monster hunter wilds,Monster Hunter: Wilds,17.94,42.89,106.27,36.98,47.7,0.0
call of duty modern warfare i,Call of Duty: Modern Warfare II,8.1,11.49,27.56,9.34,6.45,141.34
elden ring,Elden Ring,59.89,101.04,135.24,105.22,51.03,27.97
helldivers,Helldivers,10.82,33.12,92.66,28.01,28.51,0.0
terraria,Terraria,51.97,91.99,203.67,105.67,85.65,59.39
brawlhalla,Brawlhalla,45.89,115.82,315.16,129.58,40.76,175.67
warframe,Warframe,113.63,653.27,1496.81,555.31,675.14,117.92
wallpaper engine,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
garrys mod,Garry's Mod,51.11,264.87,575.64,166.51,134.79,141.54
path of exile,Path of Exile,29.63,113.09,790.88,102.08,229.88,2795.0
rust,Rust,28.45,105.78,116.68,67.12,51.95,187.91
baldurs gate,Baldur's Gate 3,72.07,114.53,176.4,116.08,92.75,0.0
destiny,Destiny,12.15,72.95,554.59,77.68,189.7,156.68
tom clancys rainbow six siege,Tom Clancy's Rainbow Six Siege,3.32,25.59,147.79,46.14,129.4,457.51
world of warships,World of Warships,0.0,144.0,0.0,144.0,0.0,28.55
the forest,The Forest,15.83,28.15,58.82,25.53,30.53,5.5
stardew alley,Stardew Valley,53.41,94.13,169.67,96.24,70.94,133.05
ark survival evolved,ARK: Survival Evolved,68.19,251.49,935.74,243.44,295.11,300.95
payday,Payday 2,27.06,153.89,540.68,137.75,119.99,53.06
warface clutch,Warface: Clutch,7.5,0.0,0.0,7.5,0.0,110.0
last epoch,Last Epoch,22.28,48.35,84.26,38.26,0.0,0.0
grand theft auto complete edition,Grand Theft Auto IV: The Complete Edition,30.75,52.92,101.21,47.84,5.0,2.0
cyberpunk 0,Cyberpunk 2077,25.91,62.82,107.46,65.22,0.0,0.0
war robots frontiers,War Robots: Frontiers,0.0,0.0,0.0,0.0,0.0,0.0
dead by daylight,Dead by Daylight,78.64,379.83,763.43,318.79,270.1,272.26
hogwarts legacy,Hogwarts Legacy,26.7,45.26,71.48,47.94,0.0,0.0
vrchat,VRChat,95.4,135.19,389.86,178.13,3.68,0.0
among us,Among Us,8.22,15.86,27.74,13.87,19.04,18.69
the witcher wild hunt,The Witcher 3: Wild Hunt,51.57,103.71,174.9,103.77,93.16,0.0
fall guys ultimate knockout,Fall Guys,9.82,31.93,93.61,31.71,43.95,33.62
borderlands,Borderlands,22.21,35.08,63.25,32.72,31.03,20.16
valheim,Valheim,81.11,104.46,144.96,105.11,85.32,15.0
halflife lost coast,Half,0.0,0.0,0.0,0.0,0.0,0.0
euro truck simulator,Euro Truck Simulator,23.24,57.9,95.4,57.43,0.0,0.0
phasmophobia,Phasmophobia,20.04,40.15,125.64,44.96,29.24,32.5
paladins,Paladins,61.91,211.43,478.81,173.51,201.67,184.19
naraka bladepoint,Naraka: Bladepoint,21.67,24.96,118.45,46.6,8.8,45.26
monster hunter world,Monster Hunter: World,46.45,114.8,427.92,107.42,159.71,266.0
heroes and generals,Heroes & Generals,155.25,0.0,0.0,155.25,0.0,30.03
rocket league,Rocket League,4.59,26.24,105.31,49.47,158.77,275.36
project zomboid,Project Zomboid,60.21,175.16,433.12,120.31,59.48,1.0
lethal company,Lethal Company,9.1,17.24,33.09,13.79,25.23,37.0
red dead redemption,Red Dead Redemption,17.62,26.05,45.89,23.89,20.73,19.0
battlefield 0,Battlefield 2042,44.63,125.92,134.99,79.41,3.98,94.46
halflife,Half,0.0,0.0,0.0,0.0,0.0,0.0
halflife deathmatch,Half,0.0,0.0,0.0,0.0,0.0,0.0
raft,Raft,25.61,36.02,66.94,34.1,33.29,0.0
world of tanks blitz,World of Tanks: Blitz,1275.0,2094.52,3500.0,2273.91,19.0,82.52
counterstrike,Command & Conquer: Red Alert - Counterstrike,5.12,7.49,8.15,7.77,0.0,0.0
halo nfinite,Halo Infinite,11.33,19.41,29.38,17.89,18.56,79.62
schedule,Schedule I,14.36,37.34,46.42,30.38,17.33,0.0
smite,Smite,11.95,470.52,12776.49,214.95,7.75,278.6
