name,developer,publisher,owners,average_forever,median_forever,owners_mid,Main Story (h),Main + Sides (h),Completionist (h),All Styles (h),Co-Op (h),Vs (h),total_hours_played
Palworld,Pocketpair,Pocketpair,"50,000,000 .. 100,000,000",62.28333333333333,36.65,75000000.0,39.83,74.06,89.24,70.21,100.7,0.0,4671250000.0
New World: Aeternum,Amazon Games,Amazon Games,"50,000,000 .. 100,000,000",177.86666666666667,61.416666666666664,75000000.0,28.67,106.5,0.0,46.6,0.0,0.0,13340000000.0
Black Myth: Wukong,Game Science,Game Science,"50,000,000 .. 100,000,000",53.15,46.7,75000000.0,38.03,47.98,67.3,50.28,0.0,0.0,3986250000.0
Lost Ark,Smilegate RPG,Amazon Games,"50,000,000 .. 100,000,000",91.65,13.1,75000000.0,48.21,202.82,706.21,137.85,382.9,5.0,6873750000.0
Monster Hunter Wilds,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","20,000,000 .. 50,000,000",71.13333333333334,54.766666666666666,35000000.0,17.94,42.89,106.27,36.98,47.7,0.0,2489666666.666667
ELDEN RING,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment","20,000,000 .. 50,000,000",133.73333333333332,93.75,35000000.0,59.89,101.04,135.24,105.22,51.03,27.97,4680666666.666666
The Forest,Endnight Games Ltd,Endnight Games Ltd,"20,000,000 .. 50,000,000",24.583333333333332,13.083333333333334,35000000.0,15.83,28.15,58.82,25.53,30.53,5.5,860416666.6666666
Last Epoch,Eleventh Hour Games,Eleventh Hour Games,"20,000,000 .. 50,000,000",92.48333333333333,50.233333333333334,35000000.0,22.28,48.35,84.26,38.26,0.0,0.0,3236916666.6666665
Hogwarts Legacy,Avalanche Software,Warner Bros. Games,"20,000,000 .. 50,000,000",38.06666666666667,26.95,35000000.0,26.7,45.26,71.48,47.94,0.0,0.0,1332333333.3333335
Valheim,Iron Gate AB,Coffee Stain Publishing,"10,000,000 .. 20,000,000",75.4,30.183333333333334,15000000.0,81.11,104.46,144.96,105.11,85.32,15.0,1131000000.0
Project Zomboid,The Indie Stone,The Indie Stone,"10,000,000 .. 20,000,000",63.86666666666667,13.783333333333333,15000000.0,60.21,175.16,433.12,120.31,59.48,1.0,958000000.0
Raft,Redbeet Interactive,Axolot Games,"10,000,000 .. 20,000,000",28.166666666666668,15.716666666666667,15000000.0,25.61,36.02,66.94,34.1,33.29,0.0,422500000.0
Portal,Valve,Valve,"10,000,000 .. 20,000,000",8.0,2.8333333333333335,15000000.0,3.12,5.25,10.35,3.91,8.33,0.0,120000000.0
Sekiro: Shadows Die Twice - GOTY Edition,"FromSoftware, Inc.","Activision (Excluding Japan and Asia), FromSoftware, Inc. (Japan), 方块游戏 (Asia)","10,000,000 .. 20,000,000",43.65,26.05,15000000.0,30.14,43.22,69.8,45.57,0.0,0.0,654750000.0
Grim Dawn,Crate Entertainment,Crate Entertainment,"10,000,000 .. 20,000,000",62.53333333333333,14.866666666666667,15000000.0,21.52,48.99,218.03,42.65,35.24,0.0,938000000.0
